X,D,Deg
12.8,-0.72,270
13.2,-1,270
13.6,-1.27,270
14,-1.42,270
14.4,-1.32,270
14.8,-0.97,270
15.2,-0.58,270
3.6,-1.71,288
4,-1.63,288
4.4,-1.45,288
4.8,-1.16,288
5.2,-0.87,288
5.6,-0.65,288
6,-0.55,288
6.4,-0.51,288
6.8,-0.51,288
7.2,-0.6,288
7.6,-0.77,288
8,-1,288
8.4,-1.21,288
8.8,-1.39,288
9.2,-1.47,288
9.6,-1.41,288
10,-1.22,288
10.4,-0.93,288
10.8,-0.69,288
11.2,-0.55,288
11.6,-0.51,288
12,-0.52,288
12.4,-0.63,288
12.8,-0.85,288
13.2,-1.09,288
13.6,-1.28,288
14,-1.37,288
14.4,-1.32,288
14.8,-1.09,288
15.2,-0.73,288
3.6,-1.13,306
4,-1.1,306
4.4,-1,306
4.8,-0.85,306
5.2,-0.69,306
5.6,-0.56,306
6,-0.48,306
6.4,-0.45,306
6.8,-0.45,306
7.2,-0.5,306
7.6,-0.58,306
8,-0.71,306
8.4,-0.83,306
8.8,-0.92,306
9.2,-0.96,306
9.6,-0.93,306
10,-0.83,306
10.4,-0.69,306
10.8,-0.56,306
11.2,-0.47,306
11.6,-0.43,306
12,-0.44,306
12.4,-0.51,306
12.8,-0.62,306
13.2,-0.74,306
13.6,-0.84,306
14,-0.89,306
14.4,-0.86,306
14.8,-0.75,306
15.2,-0.6,306
3.6,-0.37,324
4,-0.36,324
4.4,-0.31,324
4.8,-0.24,324
5.2,-0.16,324
5.6,-0.09,324
6,-0.04,324
6.4,-0.01,324
6.8,-0.01,324
7.2,-0.04,324
7.6,-0.08,324
8,-0.14,324
8.4,-0.21,324
8.8,-0.25,324
9.2,-0.27,324
9.6,-0.26,324
10,-0.2,324
10.4,-0.14,324
10.8,-0.07,324
11.2,-0.02,324
11.6,0,324
12,-0.01,324
12.4,-0.04,324
12.8,-0.1,324
13.2,-0.16,324
13.6,-0.21,324
14,-0.24,324
14.4,-0.23,324
14.8,-0.19,324
15.2,-0.16,324
3.6,0.28,342
4,0.28,342
4.4,0.3,342
4.8,0.33,342
5.2,0.36,342
5.6,0.39,342
6,0.41,342
6.4,0.42,342
6.8,0.42,342
7.2,0.41,342
7.6,0.39,342
8,0.37,342
8.4,0.34,342
8.8,0.32,342
9.2,0.31,342
9.6,0.32,342
10,0.34,342
10.4,0.37,342
10.8,0.4,342
11.2,0.42,342
11.6,0.43,342
12,0.42,342
12.4,0.41,342
12.8,0.38,342
13.2,0.36,342
13.6,0.33,342
14,0.32,342
14.4,0.31,342
14.8,0.3,342
15.2,0.25,342
3.6,0.61396,0
3.84,0.608419,0
4.08,0.603798,0
4.32,0.600623,0
4.56,0.598891,0
4.8,0.598362,0
5.04,0.598848,0
5.28,0.599743,0
5.52,0.600627,0
5.76,0.601241,0
6,0.601388,0
6.24,0.601372,0
6.48,0.601232,0
6.72,0.601291,0
6.96,0.601379,0
7.2,0.601636,0
7.44,0.601896,0
7.68,0.601949,0
7.92,0.601955,0
8.16,0.601854,0
8.4,0.601525,0
8.64,0.601196,0
8.88,0.601178,0
9.12,0.601545,0
9.36,0.601912,0
9.6,0.602124,0
9.84,0.601349,0
10.08,0.600574,0
10.32,0.599799,0
10.56,0.600072,0
10.8,0.602524,0
11.04,0.604976,0
11.28,0.607428,0
11.52,0.60988,0
11.76,0.602067,0
12,0.593557,0
12.24,0.585047,0
12.48,0.576537,0
12.72,0.568027,0
12.96,0.59479,0
13.2,0.626199,0
13.44,0.657609,0
13.68,0.689019,0
13.92,0.720428,0
14.16,0.740653,0
14.4,0.601611,0
14.64,0.462571,0
14.88,0.32353,0
15.12,0.184489,0
15.36,0.0454481,0
3.6,0.548483,18
3.84,0.547867,18
4.08,0.544706,18
4.32,0.538616,18
4.56,0.52948,18
4.8,0.517521,18
5.04,0.5028,18
5.28,0.48629,18
5.52,0.468875,18
5.76,0.451543,18
6,0.436171,18
6.24,0.423453,18
6.48,0.413188,18
6.72,0.409447,18
6.96,0.406691,18
7.2,0.411395,18
7.44,0.416208,18
7.68,0.424261,18
7.92,0.433039,18
8.16,0.441296,18
8.4,0.448451,18
8.64,0.455605,18
8.88,0.460779,18
9.12,0.46349,18
9.36,0.466202,18
9.6,0.468094,18
9.84,0.464779,18
10.08,0.461463,18
10.32,0.458148,18
10.56,0.455391,18
10.8,0.453794,18
11.04,0.452198,18
11.28,0.450602,18
11.52,0.449005,18
11.76,0.439883,18
12,0.43025,18
12.24,0.420617,18
12.48,0.410984,18
12.72,0.401351,18
12.96,0.425445,18
13.2,0.453983,18
13.44,0.48252,18
13.68,0.511057,18
13.92,0.539595,18
14.16,0.558502,18
14.4,0.440275,18
14.64,0.322048,18
14.88,0.203821,18
15.12,0.0855941,18
15.36,-0.0326326,18
3.6,0.195956,36
3.84,0.20442,36
4.08,0.205774,36
4.32,0.198236,36
4.56,0.18115,36
4.8,0.155014,36
